Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
P25398	P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	263.846	398.315	369.762
P25490	P25490;O15391	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	24.5194	27.8357	31.9289
P25685	P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	117.238	130.031	118.277
P25685;Q9UDY4	Q9UDY4;P25685	DNJB1_HUMAN;DNJB4_HUMAN	DNAJB1;DNAJB4	DnaJ homolog subfamily B member 1	64.7891	88.327	91.216
P25705	P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	749.921	748.365	729.564
P25786	P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	254.361	258.378	239.394
P25787	P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	115.821	127.195	95.9105
P25788	P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	203.877	199.266	189.33
P25789	P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	290.706	282.077	274.415
P26006	P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	35.6281	40.2727	36.36
P26038	P26038	MOES_HUMAN	MSN	Moesin	120.356	127.879	126.488
P26038;P35241	P35241;P26038	MOES_HUMAN;RADI_HUMAN	MSN;RDX	Moesin	47.3279		50.2048
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	184.337	172.882	189.947
P26358	P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	74.993	65.105	67.3496
P26368	P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	129.066	146.165	106.129
P26373	P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	917.916	906.383	935.104
P26583	P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	224.831	206.547	243.234
P26599	P26599;O95758	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	301.51	330.136	310.48
P26639	P26639;A2RTX5	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	257.057	250.235	241.048
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	258.989	253.276	249.538
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	795.78	747.818	760.156
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	81.6163	126.743	119.769
P27144	P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	44.2657	46.6963	41.0743
P27338	P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	20.8521		3.71277
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	428.736	434.639	426.306
P27348;P31946	P27348;P31946	1433B_HUMAN;1433T_HUMAN	YWHAB;YWHAQ	14-3-3 protein theta	95.2037	95.9396	124.148
P27348;P31946;P31947;P61981;P62258;P63104;Q04917	P63104;P61981;P27348;P31946;P62258;P31947;Q04917	1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN	SFN;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ	14-3-3 protein theta	1464.09	1629.11	1518.72
P27348;P31946;P61981;Q04917	P61981;P27348;P31946;Q04917	1433B_HUMAN;1433F_HUMAN;1433G_HUMAN;1433T_HUMAN	YWHAB;YWHAG;YWHAH;YWHAQ	14-3-3 protein theta	316.887	325.443	316.038
P27348;P31946;P63104	P63104;P27348;P31946	1433B_HUMAN;1433T_HUMAN;1433Z_HUMAN	YWHAB;YWHAQ;YWHAZ	14-3-3 protein theta	368.089	385.696	310.421
P27361	P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	27.8857	31.8192	32.9191
P27361;P28482	P28482;P27361;Q16659;P31152	MK01_HUMAN;MK03_HUMAN	MAPK1;MAPK3	Mitogen-activated protein kinase 3	59.1442	63.064	56.0526
P27449	P27449	VATL_HUMAN	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit	24.3325	44.9596	38.261
P27635	Q96L21;P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	305.665	359.256	398.128
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	102.059	93.015	93.9939
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	234.974	200.255	216.277
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	30.5273	20.4403	26.854
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	197.794	199.118	192.129
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	617.173	564.079	532.253
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	135.798	121.857	155.303
P27824	P27824	CALX_HUMAN	CANX	Calnexin	297.445	271.532	265.626
P28066	P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	211.709	220.059	214.814
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	129.856	122.583	135.165
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	244.382	276.662	244.532
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	171.751	182.4	181.7
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	39.0163	36.1144	53.57
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	41.8656	38.2384	42.1784
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	35.803	43.5476	40.1416
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	229.422	266.802	241.453
P28476	P28476	GBRR2_HUMAN	GABRR2	Gamma-aminobutyric acid receptor subunit rho-2			3.25278
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	41.9481	44.5203	62.735
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	103.301	99.8783	122.025
P29083	P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	17.2974	20.5013	27.0556
P29084	P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta			15.605
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	21.9699	19.0272	19.9942
P29218	P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	73.5551	86.5115	83.9224
P29317	P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	46.4621	46.8071	47.9151
P29350	P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	15.364	10.2843	7.90939
P29373	P29373	RABP2_HUMAN	CRABP2	Cellular retinoic acid-binding protein 2	99.1303	148.121	128.87
P29401	P29401	TKT_HUMAN	TKT	Transketolase	790.916	799.526	712.898
P29692	P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	608.488	595.635	603.468
P29966	P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	16.55		21.51
P29992	P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	39.1014	58.2455	49.0791
P29992;Q14344	O95837;P29992;Q03113;Q14344;P19086;P50148	GNA11_HUMAN;GNA13_HUMAN	GNA11;GNA13	Guanine nucleotide-binding protein subunit alpha-11			26.2723
P30038	P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	13.0869	10.7978	10.5465
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	195.143	218.156	200.451
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	1060.44	998.114	925.478
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	120.623	113.093	119.753
P30044	P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	275.042	230.473	265.365
P30046	A6NHG4;P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	207.692	237.504	228.682
P30048	P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	485.045	519.557	532.982
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	175.047	166.559	199.503
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	395.007	422.933	536.185
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	68.655	89.7919	67.0427
P30085	P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	42.1286	53.369	45.7165
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	354.741	381.904	388.037
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	614.974	602.521	629.105
P30153	P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	236.684	243.89	281.796
P30153;P30154	P30153;P30154	2AAA_HUMAN;2AAB_HUMAN	PPP2R1A;PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	89.2607	104.5	129.736
P30154	P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	11.3514	10.2805	12.4719
P30260	P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	19.6361		15.8704
P30405	P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	42.0798	39.8686	43.826
P30405;Q9UNP9	P30405;Q9UNP9	PPIE_HUMAN;PPIF_HUMAN	PPIE;PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	15.9325		11.6702
P30419	P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	110.341	80.5392	94.2127
P30519	P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	60.7599	55.0606	52.8733
P30520	P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	75.5855	85.8982	80.5947
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein			12.3129
P30536	P30536	TSPO_HUMAN	TSPO	Translocator protein	64.2788	52.5747	65.0733
P30566	P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	90.3345	86.4491	87.0135
P30622	P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1			10.9718
P30626	P30626	SORCN_HUMAN	SRI	Sorcin	82.0248	80.6566	81.2707
P30740	P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	28.1816	31.7956	16.6403
P30740;P50453	O75830;P30740;P50452;P50453	ILEU_HUMAN;SPB9_HUMAN	SERPINB1;SERPINB9	Leukocyte elastase inhibitor			9.38617
P30825	P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	65.3565	72.3624	53.4169
P30837	P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	50.5957	35.2641	48.4143
P30837;P47895	P30837;P47895	AL1A3_HUMAN;AL1B1_HUMAN	ALDH1A3;ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	76.0859	55.8614	49.2307
P30876	P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	14.4303	35.009	23.1535
P31040	P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	89.9581	108.781	104.702
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	89.373	85.1649	83.7056
P31150;P50395	P31150;P50395	GDIA_HUMAN;GDIB_HUMAN	GDI1;GDI2	Rab GDP dissociation inhibitor alpha	208.748	198.025	188.452
P31153	P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	228.041	218.596	214.147
P31323	P31323	KAP3_HUMAN	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit			19.5489
P31350	P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	108.675	113.748	102.562
P31350;Q7LG56	P31350;Q7LG56	RIR2B_HUMAN;RIR2_HUMAN	RRM2;RRM2B	Ribonucleoside-diphosphate reductase subunit M2	74.5837	77.4399	51.0899
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	82.8216	86.2327	100.165
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	135.862	166.013	183.765
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	26.0591	21.3884	31.4592
P31939	P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	209.527	215.887	220.218
P31942	P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	23.6843	25.125	18.338
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	163.554	212.501	197.813
P31943;P52597	P52597;P31943	HNRH1_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	284.323	371.02	228.221
P31943;P52597;P55795	P55795;P52597;P31943	HNRH1_HUMAN;HNRH2_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	173.361	206.46	169.756
P31943;P55795	P55795;P31943	HNRH1_HUMAN;HNRH2_HUMAN	HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	124.301	155.554	136.602
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	291.043	238.355	238.968
P31946;P61981	P61981;P31946	1433B_HUMAN;1433G_HUMAN	YWHAB;YWHAG	14-3-3 protein beta/alpha	152.23	136.224	147.504
P31947	P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	214.333	234.582	240.911
P31947;P61981;P63104;Q04917	P63104;P61981;P31947;Q04917	1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433Z_HUMAN	SFN;YWHAG;YWHAH;YWHAZ	14-3-3 protein sigma	169.477	169.27	217.705
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	724.373	738.614	765.928
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	15.0625	25.624	32.3924
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	316.797	298.582	326.373
P32119;Q06830	Q06830;P32119	PRDX1_HUMAN;PRDX2_HUMAN	PRDX1;PRDX2	Peroxiredoxin-2	1302.93	1299.08	1344.45
P32121	P32121	ARRB2_HUMAN	ARRB2	Beta-arrestin-2	20.6829	15.6296	24.8657
P32321	P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	9.24087	13.3275	18.0672
P32322	P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	178.681	142.909	175.313
P32322;Q96C36	P32322;Q96C36	P5CR1_HUMAN;P5CR2_HUMAN	PYCR1;PYCR2	Pyrroline-5-carboxylate reductase 1, mitochondrial	91.873	167.377	162.189
P32929	P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	12.6316	13.188	
P32969	P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	416.864	436.242	456.532
P33176	P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	98.3274	82.3595	99.9702
P33176;Q12840	P33176;Q12840;O60282	KIF5A_HUMAN;KINH_HUMAN	KIF5A;KIF5B	Kinesin-1 heavy chain	96.9284	92.7217	85.842
P33240	P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	56.7634	79.8538	70.4975
P33316	P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	232.338	254.556	313.348
P33991	P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	150.726	156.475	158.518
P33992	P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	256.017	266.942	248.816
P33993	P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	236.611	235.021	233.377
P34896	P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	29.0559	39.9914	36.926
P34896;P34897	P34896;P34897	GLYC_HUMAN;GLYM_HUMAN	SHMT1;SHMT2	Serine hydroxymethyltransferase, cytosolic	132.703	143.137	119.59
P34897	P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	359.902	353.774	372.52
P34932	P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	375.395	386.763	408.758
P34932;Q92598	P34932;Q92598	HS105_HUMAN;HSP74_HUMAN	HSPA4;HSPH1	Heat shock 70 kDa protein 4	51.1675	60.4772	64.0622
P35030	P35030	TRY3_HUMAN	PRSS3	Trypsin-3	91.5199	106.666	67.6544
P35080	P35080	PROF2_HUMAN	PFN2	Profilin-2	275.958	236.135	247.346
P35221	P26232;P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	117.792	123.941	99.0059
P35222	P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	62.8266	58.104	60.251
P35232	P35232	PHB_HUMAN	PHB	Prohibitin	756.942	768.923	771.105
P35237	P35237;P50452	SPB6_HUMAN	SERPINB6	Serpin B6	83.6605	77.4023	73.2003
P35241	P35241	RADI_HUMAN	RDX	Radixin	69.0642	64.7331	64.3526
P35244	P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	60.8718	59.461	92.8807
P35249	P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	84.1203	83.1369	72.7489
P35250	P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	94.2815	82.473	99.7019
P35251	P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	17.2994	24.2024	23.521
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	688.176	654.829	673.464
P35269	P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	27.7022	35.152	37.8427
P35270	P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	45.8591	55.1038	47.6163
P35527	P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	958.545	2033.31	573.411
P35568	P35568	IRS1_HUMAN	IRS1	Insulin receptor substrate 1	16.1921		7.12288
P35573	P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	18.9427	16.2541	19.5069
P35579	P35579	MYH9_HUMAN	MYH9	Myosin-9	775.095	754.952	766.174
P35579;P35580	P35580;P35579	MYH10_HUMAN;MYH9_HUMAN	MYH10;MYH9	Myosin-9	145.027	119.712	140.905
P35579;P35580;Q7Z406	Q7Z406;P35580;P35579;P35749	MYH10_HUMAN;MYH14_HUMAN;MYH9_HUMAN	MYH10;MYH14;MYH9	Myosin-9	107.971	114.119	106.886
P35579;Q7Z406	Q7Z406;P35579;P35749	MYH14_HUMAN;MYH9_HUMAN	MYH14;MYH9	Myosin-9	114.445	80.1969	128.665
P35580	P35580	MYH10_HUMAN	MYH10	Myosin-10	49.5541	50.1341	47.3496
P35580;Q7Z406	Q7Z406;P35580;P35749	MYH10_HUMAN;MYH14_HUMAN	MYH10;MYH14	Myosin-10	17.7177		
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	99.9768	113.588	97.4516
P35613	P35613	BASI_HUMAN	BSG	Basigin	404.623	434.165	433.982
P35637	P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	341.723	283.089	340.495
P35637;Q92804	Q92804;P35637	FUS_HUMAN;RBP56_HUMAN	FUS;TAF15	RNA-binding protein FUS	121.795	124.652	97.4148
P35659	P35659	DEK_HUMAN	DEK	Protein DEK	83.2794	90.6286	94.76
P35908	P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	278.944	691.089	160.453
P35998	P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	155.954	161.439	156.906
P36404	P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	44.5532	29.9296	30.9979
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	91.7511	107.532	82.4745
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	22.6152	22.9723	25.3634
P36507;Q02750	P36507;Q02750	MP2K1_HUMAN;MP2K2_HUMAN	MAP2K1;MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	79.8836	79.8148	80.0676
P36542	P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	252.466	242.075	232.891
P36543	P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	81.2701	82.1932	65.4893
P36551	P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	493.039	506.482	542.49
P36578	P36578	RL4_HUMAN	RPL4	60S ribosomal protein L4	737.028	735.121	798.694
P36639	P36639	8ODP_HUMAN	NUDT1	7,8-dihydro-8-oxoguanine triphosphatase	36.0595	22.8299	27.5279
P36776	P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	71.5579	60.4522	70.8437
P36871	P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	59.1176	63.6699	62.2849
P36873	P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	50.5404	64.9239	61.0537
P36873;P62136	P36873;P62136	PP1A_HUMAN;PP1G_HUMAN	PPP1CA;PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	44.6585	107.763	117.543
P36873;P62136;P62140	P36873;P62136;P62140	PP1A_HUMAN;PP1B_HUMAN;PP1G_HUMAN	PPP1CA;PPP1CB;PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	83.6944	95.3972	105.152
P36915	P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	53.8582	74.1877	66.0709
P36952	P36952	SPB5_HUMAN	SERPINB5	Serpin B5	37.832	17.9357	22.168
P36955	P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	99.0226	156.37	105.776
P36957	P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	72.7584	71.3065	77.1998
P36959	P36959	GMPR1_HUMAN	GMPR	GMP reductase 1	5.55507		
P36959;Q9P2T1	Q9P2T1;P36959	GMPR1_HUMAN;GMPR2_HUMAN	GMPR;GMPR2	GMP reductase 1	5.85486		8.60142
P37108	P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	147.503	172.191	159.919
P37198	P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	22.4341	18.1236	15.9436
P37235	P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	28.8471	19.8582	28.648
P37268	P37268	FDFT_HUMAN	FDFT1	Squalene synthase	25.2684	34.1357	28.4495
P37802	P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	226.81	226.87	234.325
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	359.648	368.377	363.777
P38117	P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	167.064	153.309	180.348
P38159;Q96E39	Q96E39;P38159	RBMX_HUMAN;RMXL1_HUMAN	RBMX;RBMXL1	RNA-binding motif protein, X chromosome	27.2676	33.0792	33.3957
P38606	P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	93.2539	94.7495	98.7402
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	908.731	964.348	993.278
P38919	P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	352.922	351.513	340.465
P38919;P60842;Q14240	P60842;Q14240;P38919	IF4A1_HUMAN;IF4A2_HUMAN;IF4A3_HUMAN	EIF4A1;EIF4A2;EIF4A3	Eukaryotic initiation factor 4A-III	883.111	873.121	896.836
P39019	P39019	RS19_HUMAN	RPS19	40S ribosomal protein S19	407.94	379.934	384.201
P39023	P39023	RL3_HUMAN	RPL3	60S ribosomal protein L3	362.245	340.905	409.898
P39656	P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	209.364	221.393	194.517
P39687	P39687;O43423	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	290.447	324.704	390.657
P39687;Q92688	P39687;Q92688	AN32A_HUMAN;AN32B_HUMAN	ANP32A;ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member A	208.896	229.938	224.753
P39748	P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	252.491	269.638	291.76
P40121	P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	50.5199	33.9897	42.495
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	15.5977	6.23078	12.9271
P40227	P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	476.48	468.309	478.006
P40429	Q6NVV1;P40429	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	689.053	747.039	692.024
P40616	P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	37.9585	56.1936	20.3762
P40763	P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	7.71028	10.2626	8.53294
P40818	P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	16.2004	13.3414	8.71299
P40925	P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	774.69	823.176	738.599
P40926	P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	835.546	898.338	876.946
P40937	P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	115.02	110.156	113.857
P40938	P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	29.6985	32.6869	29.2813
P40939	P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	123.61	109.766	115.898
P41091	P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	146.648	162.946	150.335
P41214	P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	8.89909		7.36455
P41223	P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	7.14134	15.6925	20.3123
P41227	Q9BSU3;P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	56.7264	76.0965	68.6706
P41236;Q6NXS1	P41236;Q6NXS1	IPP2B_HUMAN;IPP2_HUMAN	PPP1R2;PPP1R2B	Protein phosphatase inhibitor 2	12.0532	8.37103	18.5145
P41240	P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	48.1139	55.3614	51.6873
P41250	P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	187.455	191.777	181.985
P41252	P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	237.605	215.422	231.813
P41567	O60739;P41567	EIF1_HUMAN	EIF1	Eukaryotic translation initiation factor 1	23.0184	28.5544	58.6893
